DATA_INIZIO,4000155_5,4000155_111
2014-08-30,16.0,11.0
2014-08-31,15.0,11.0
2014-09-01,5.0,2.0
2014-09-02,7.0,4.0
2014-09-03,7.0,6.0
2014-09-04,16.0,11.0
2014-09-05,25.0,16.0
2014-09-06,23.0,16.0
2014-09-07,20.0,18.0
2014-09-08,20.0,16.0
2014-09-09,22.0,14.0
2014-09-10,14.0,5.0
2014-09-11,10.0,5.0
2014-09-12,8.0,4.0
2014-09-13,14.0,10.0
2014-09-14,15.0,10.0
2014-09-15,18.4,12.0
2014-09-16,22.0,12.0
2014-09-17,20.0,10.0
2014-09-18,27.0,14.0
2014-09-19,61.0,36.0
2014-09-20,50.0,28.0
2014-09-21,24.0,11.0
2014-09-22,11.0,5.0
2014-09-23,15.0,8.0
2014-09-24,14.0,8.0
2014-09-25,25.0,16.0
2014-09-26,27.0,17.0
2014-09-27,36.0,22.0
2014-09-28,34.0,25.0
2014-09-29,26.0,19.0
2014-09-30,24.0,15.0
2014-10-01,34.0,17.0
2014-10-02,19.0,8.0
2014-10-03,17.0,9.0
2014-10-04,17.0,10.0
2014-10-05,15.0,9.0
2014-10-06,22.0,16.0
2014-10-07,39.0,23.0
2014-10-08,75.0,41.0
2014-10-09,64.0,34.0
2014-10-10,70.0,33.0
2014-10-11,52.0,23.0
2014-10-12,25.0,10.0
2014-10-13,35.0,12.0
2014-10-14,27.0,11.0
2014-10-15,31.0,15.0
2014-10-16,28.0,10.0
2014-10-17,39.0,21.0
2014-10-18,51.0,27.0
2014-10-19,41.0,21.0
2014-10-20,29.0,16.0
2014-10-21,26.0,10.0
2014-10-22,10.0,4.0
2014-10-23,9.0,5.0
2014-10-24,14.0,9.0
2014-10-25,20.0,14.0
2014-10-26,24.0,17.0
2014-10-27,27.0,18.0
2014-10-28,32.0,20.0
2014-10-29,38.0,26.0
2014-10-30,47.0,32.0
2014-10-31,65.0,42.0
2014-11-01,58.0,39.0
2014-11-02,28.0,18.0
2014-11-03,31.0,20.0
2014-11-04,17.0,6.0
2014-11-05,20.0,7.0
2014-11-06,12.0,5.0
2014-11-07,20.0,11.0
2014-11-08,35.0,20.0
2014-11-09,39.0,19.0
2014-11-10,23.0,12.0
2014-11-11,30.0,15.0
2014-11-12,30.0,13.0
2014-11-13,11.0,6.0
2014-11-14,23.0,12.0
2014-11-15,23.0,13.0
2014-11-16,11.0,6.0
2014-11-17,12.0,6.0
2014-11-18,23.0,14.0
2014-11-19,30.0,20.0
2014-11-20,29.0,20.0
2014-11-21,46.0,30.0
2014-11-22,65.0,43.0
2014-11-23,79.0,54.0
2014-11-24,81.0,48.0
2014-11-25,84.0,50.0
2014-11-26,34.0,18.0
2014-11-27,45.0,22.0
2014-11-28,31.0,16.0
2014-11-29,38.0,21.0
2014-11-30,35.0,16.0
2014-12-01,27.0,11.0
2014-12-02,28.0,9.0
2014-12-03,17.0,9.0
2014-12-04,17.0,12.0
2014-12-05,26.0,16.0
2014-12-06,36.0,21.0
2014-12-07,15.0,10.0
2014-12-08,19.0,12.0
2014-12-09,24.0,16.0
2014-12-10,33.0,21.0
2014-12-11,33.0,23.0
2014-12-12,45.0,31.0
2014-12-13,60.0,44.0
2014-12-14,79.0,56.0
2014-12-15,73.0,49.0
2014-12-16,31.0,19.0
2014-12-17,28.0,16.0
2014-12-18,43.0,25.0
2014-12-19,40.0,22.0
2014-12-20,45.0,28.0
2014-12-21,35.0,22.0
2014-12-22,34.0,20.0
2014-12-23,41.0,30.0
2014-12-24,34.0,22.0
2014-12-25,36.0,27.0
2014-12-26,31.0,23.0
2014-12-27,11.0,8.0
2014-12-28,26.0,22.0
2014-12-29,18.0,13.0
2014-12-30,25.0,18.0
2014-12-31,37.0,29.0
2015-01-01,41.0,32.0
2015-01-02,27.0,19.0
2015-01-03,34.0,25.0
2015-01-04,28.0,19.0
2015-01-05,14.0,8.0
2015-01-06,36.0,27.0
2015-01-07,51.0,37.0
2015-01-08,65.0,52.0
2015-01-09,54.0,39.0
2015-01-10,60.0,46.0
2015-01-11,43.0,31.0
2015-01-12,15.0,8.0
2015-01-13,44.0,27.0
2015-01-14,58.0,42.0
2015-01-15,74.0,53.0
2015-01-16,86.0,59.0
2015-01-17,21.0,14.0
2015-01-18,28.0,18.0
2015-01-19,31.0,27.0
2015-01-20,47.0,37.0
2015-01-21,46.0,34.0
2015-01-22,28.0,18.0
2015-01-23,25.0,16.0
2015-01-24,26.7,17.1
2015-01-25,26.7,17.1
2015-01-26,26.7,17.1
